Start	Stop	Theta	Pi	TajimasD	Fay&WuH
10000	60000	0.00708737898514	0.0056623665113	-0.723003863624	None
20000	70000	0.00753630941227	0.00590675753689	-0.776774925696	None
30000	80000	0.00783539995395	0.00625455739779	-0.722940484709	None
40000	90000	0.0103118840725	0.0114516664421	0.392042978988	None
50000	100000	None	None	None	None
60000	110000	0.00501934711989	0.00406315844595	-0.665415526487	None
70000	120000	0.00651668207522	0.0052586988701	-0.690922550118	None
80000	130000	0.0070764538436	0.00577220861025	-0.660799984608	None
90000	140000	0.00671523991925	0.00521434647859	-0.80211867379	None
100000	150000	0.00656624942871	0.00491392168916	-0.90375262219	None
110000	160000	0.00671687478345	0.00503540523336	-0.899179013061	None
120000	170000	0.00629864020631	0.00444000452376	-1.05801665694	None
130000	180000	0.0055594794757	0.00364854269191	-1.23126607321	None
140000	190000	0.00574666244345	0.00392411794716	-1.13445143706	None
150000	200000	0.00523130980559	0.00363800872851	-1.09004681206	None
160000	210000	0.00519954616532	0.0035705347215	-1.12313670124	None
170000	220000	0.00494232241162	0.00342433333484	-1.10224454599	None
180000	230000	0.00478281502899	0.00323614031095	-1.16157319562	None
190000	240000	0.00452259839707	0.00322604343672	-1.03011258363	None
200000	250000	0.00462500468701	0.00342608271022	-0.931629547392	None
210000	260000	0.0045135230276	0.00323528765164	-1.01744288587	None
220000	270000	0.00459042352751	0.00343797693364	-0.902001258221	None
230000	280000	0.00493289257918	0.00389665349394	-0.754872275236	None
240000	290000	0.00506635510727	0.00384927610029	-0.863540007494	None
250000	300000	0.00554837322023	0.00458591588057	-0.62372898486	None
260000	310000	0.00562004939289	0.00486672953992	-0.481701204118	None
270000	320000	0.00568855684968	0.0050080183971	-0.429473828996	None
280000	330000	0.00555172268327	0.00490255683309	-0.419693991706	None
290000	340000	0.00542922049693	0.00485491157766	-0.379673073696	None
300000	350000	0.00504551204041	0.00404800408467	-0.709562479574	None
310000	360000	0.00522230434399	0.00416450259403	-0.727984022909	None
320000	370000	0.00511570455794	0.00397330025261	-0.803045425739	None
